concept,code file,function/class,line numbers,variable names,exact value/formula,notes
time column selection,src/utils/player_status.py,_choose_time_col,11-26,"timestamp, time","choose timestamp else time; parse datetime; error if all invalid","Invalid parsed times later dropped."
nonnegative depth,src/utils/player_status.py,_compute_depth_from_edges,29-55,"depth_from_edge","min edge distance clipped below at 0","Uses axis-aligned rectangle from min/max pitch_xy."
signed depth,src/utils/player_status.py,_compute_signed_depth_from_edges,58-80,"signed_depth_from_edge","min(x-xmin, xmax-x, y-ymin, ymax-y)","Positive inside rectangle, negative outside; not a polygon-buffer distance."
label function defaults,src/utils/player_status.py,label_active_players,461-485,"active_depth_m, activate_s, bench_off_s, on_pitch_eps_m, likelihood_window_s, seed_window_s, position_margin_m, coordinate_sanity_margin_m, replacement_confirm_s, weak_confirm_s, switch_margin, weak_score_threshold, velocity_coherence_weight","defaults: 3.0,60,120,0.1,45,120,5,30,35,35,0.75,1.6,1.5; production overrides active_depth/activate/bench_off/method/max_active","Defaults not passed by production remain active."
geometry flags,src/utils/player_status.py,label_active_players,523-526,"signed_depth_from_edge, depth_from_edge, on_pitch, in_active_zone","on_pitch = signed_depth >= 0.1; in_active_zone = signed_depth >= active_depth_m","Production active_depth_m is 6.0."
geometry state counters,src/utils/player_status.py,label_active_players,545-588,"current, time_in_active, time_off_pitch","bench->active when time_in_active >= activate_s; active->bench when time_off_pitch >= bench_off_s","Intermediate geometry status, not final sticky selected XI by itself."
motion dt and clamp,src/utils/player_status.py,_add_recent_motion_features,92-119,"dt, step_raw, max_step, vx_mps, vy_mps, speed_mps","dt clipped to [0,5]; max_step = 8.0*max(dt,1.0); velocities zero when dt<=0","Used only in active-player scoring features."
recent motion windows,src/utils/player_status.py,_add_recent_motion_features,120-144,"recent_path_m, recent_vx_mps, recent_vy_mps, recent_speed_mps","rolling 45-sample sum/means under production likelihood_window_s=45","Sample-count rolling window."
velocity coherence definition,src/utils/player_status.py,_velocity_coherence_score,148-184,"top_k, min_speed_mps, velocity_coherence_score","valid speed >=0.25; score = clip((mean(top_k cos)+1)/2,0,1); top_k=7","No finite comparisons gives 0; one candidate gives 1."
seed window,src/utils/player_status.py,_seed_playing_xi,198-206,"t0, seed_window_s, hard_position_valid","rows between t0 and t0+120s inclusive; finite xy; signed_depth >= -30","Seed is computed before the forward sticky loop."
seed score,src/utils/player_status.py,_seed_playing_xi,210-228,"seed_score","0.15*recent_path_m + 0.02*in_zone_seconds + 0.01*on_pitch_seconds + 0.03*median_depth + 0.02*geometry_active_seconds","Top 11 by descending score; no explicit secondary tie-breaker."
sticky state init,src/utils/player_status.py,_apply_sticky_hierarchical_active_xi,279-295,"selected_prev, weak_seconds, challenger_seconds, last_t","selected_prev = set(seed_xi); weak_seconds initialized for seed players","Persistent framewise state."
sticky frame step,src/utils/player_status.py,_apply_sticky_hierarchical_active_xi,297-302,"step_s, last_t","first frame 1.0; otherwise min(5, max(0, dt)); non-positive reset to 1","Counters cap long gaps at 5 s."
hard position gate,src/utils/player_status.py,_apply_sticky_hierarchical_active_xi,279-282,"hard_position_valid","finite xy and signed_depth >= -30","Continuity cannot override this hard gate."
candidate gate,src/utils/player_status.py,_apply_sticky_hierarchical_active_xi,304-313,"position_gate, previous_active","hard_position_valid & (signed_depth >= -5 OR previous_active)","Soft outside margin is 5 m, not 6 m."
position score,src/utils/player_status.py,_apply_sticky_hierarchical_active_xi,323-328,"position_score","clip((signed_depth + 5)/(5 + 12),0,1)","Additional score term has fixed denominator offset 12.0 and weight 0.35."
base score,src/utils/player_status.py,_apply_sticky_hierarchical_active_xi,329-337,"playing_likelihood_score","0.10*recent_path + 0.025*depth + 0.25*geometry_active + 0.20*in_zone + 0.35*seed + 1.50*coherence + 0.35*position_score","Complete production score equation."
continuity score,src/utils/player_status.py,_apply_sticky_hierarchical_active_xi,338,"hierarchical_active_score","base_score + 2.5*I(name in selected_prev)","Continuity affects ranking."
empty selected fallback,src/utils/player_status.py,_apply_sticky_hierarchical_active_xi,352-357,"selected_now","if selected_now empty choose top 11 by hierarchical_active_score","No explicit tie-break columns."
vacancy fill,src/utils/player_status.py,_apply_sticky_hierarchical_active_xi,358-366,"selected_now, add_name","drop selected not present; while fewer than 11 add top non-selected candidate immediately","Final entry can happen without 70 s when vacancies exist."
weak counter,src/utils/player_status.py,_apply_sticky_hierarchical_active_xi,368-377,"weak_seconds, weak_score_threshold, weak_confirm_s","weak counter accumulates when base_score < 1.6; weak if >=35 s","Final sticky demotion trigger differs from 110 s geometry demotion."
challenger counter,src/utils/player_status.py,_apply_sticky_hierarchical_active_xi,378-388,"challenger_seconds, switch_margin","challenger accumulates if base_score >= selected_score_min + 0.75","Counter resets immediately otherwise."
replacement rule,src/utils/player_status.py,_apply_sticky_hierarchical_active_xi,390-407,"replacement_confirm_s, ready, in_name, out_name","ready challenger >=35 s; choose largest challenger_seconds/base_score; remove weakest base_score/longest weak_seconds","No external substitution feed."
final cap,src/utils/player_status.py,_apply_sticky_hierarchical_active_xi,414-419,"max_active_players","selected candidates sorted by hierarchical_active_score, head 11","Enforces 11 cap."
output labels,src/utils/player_status.py,_apply_sticky_hierarchical_active_xi,421-427,"player_status, playing_selected","selected active; gated non-selected rejected_hoverer; others bench","Production drops debug cols."
selection events,src/utils/player_status.py,_apply_sticky_hierarchical_active_xi,428-441,"playing_selection_event","entered -> hierarchical_selected; exited -> hierarchical_removed when current row exists","State pruned after each frame."
selector attrs,src/utils/player_status.py,_apply_sticky_hierarchical_active_xi,443-456,"playing_likelihood_params","stores mode, windows, margins, thresholds, velocity_coherence_weight, seed_xi","Attrs not retained in parquet rows."
dispatch to production selector,src/utils/player_status.py,label_active_players,592-621,"active_method, seed_bonus, continuity_bonus, movement_weight, depth_weight, geometry_active_bonus, in_zone_bonus, velocity_top_k","sticky_hierarchical_active_xi passes seed_bonus=0.35, continuity_bonus=2.5, movement_weight=0.10, depth_weight=0.025, geometry_active_bonus=0.25, in_zone_bonus=0.20, velocity_top_k=7, min_velocity_speed_mps=0.25","Production method selected by config."
debug column dropping,src/utils/player_status.py,label_active_players,625-660,"keep_debug_cols, debug_cols","production keep_debug_cols default False drops scores/flags","Final active cache retains labels only, not score diagnostics."
active standardization,src/utils/trajectory_stats.py,_btv2_standardise_active,1510-1598,"df_active_std","drop rows with missing _t, x_m, y_m, player_name, team; keep phases 1H/2H","Downstream active rows with invalid coords cannot enter centroid."
active path splitting,src/utils/trajectory_stats.py,_btv2_build_player_paths,1601-1650,"max_gap_s, min_len","new path when dt is NaN or >2 s; retain paths with >=30 samples","Production defaults in build_transport_tables_from_active_v2."
centroid construction,src/utils/trajectory_stats.py,_btv2_build_centroid_timeseries,1659-1681,"min_players_centroid, n_players","group mean x_m/y_m; n_players=nunique(player_name); retain n_players >=7","Centroid minimum seven is confirmed."
transport pipeline,src/utils/trajectory_stats.py,build_transport_tables_from_active_v2,2443-2515,"theta_deg, min_players_centroid","theta_deg passed as THETA_DEG=30; min_players_centroid default 7","Downstream run/polarisation tables start from active rows."
no-coherence definition,analysis/levy_paper/scripts/create_minimal_supplement_final.py,main/report generation,571,"velocity_coherence_weight","production active-player relabel with velocity_coherence_weight=0.0; other rules retained","Referenced no-coherence parquet is absent in cleaned tree."
final count audit,analysis/levy_paper/scripts/final_paper_completion_audit.py,dataset_counts,183-194,"tracked_records, centroid, hazard","66 tracked records; 69,802 centroid runs; 355,330 intervals","Independent final audit source."
